trial_nr	onset	event_type	phase	response	nr_frames	condition	onset_abs	duration
168	198.8576250076294	pulse	0	t		horizontal	374.9350018501282	
169	198.98092198371887	stim	0		30	horizontal	375.05829882621765	0.25005102157592773
170	199.2309730052948	stim	0		30	horizontal	375.3083498477936	0.24995088577270508
171	199.4809238910675	stim	0		30	horizontal	375.5583007335663	0.250136137008667
172	199.73106002807617	stim	0		30	horizontal	375.80843687057495	0.2499399185180664
172	199.97278308868408	pulse	0	t		horizontal	376.05015993118286	
173	199.98099994659424	stim	0		30	horizontal	376.058376789093	0.25000905990600586
174	200.23100900650024	stim	0		30	horizontal	376.308385848999	0.24994397163391113
175	200.48095297813416	stim	0		30	horizontal	376.55832982063293	0.25003504753112793
176	200.73098802566528	stim	0		30	horizontal	376.80836486816406	0.25002598762512207
177	200.9810140132904	stim	0		30	horizontal	377.0583908557892	0.24997305870056152
177	201.0811049938202	pulse	0	t		horizontal	377.15848183631897	
178	201.23098707199097	stim	0		30	horizontal	377.30836391448975	0.24999284744262695
179	201.4809799194336	stim	0		30	horizontal	377.5583567619324	0.24999308586120605
180	201.7309730052948	stim	0		30	horizontal	377.8083498477936	0.25000500679016113
181	201.98097801208496	stim	0		30	horizontal	378.05835485458374	0.2500019073486328
181	202.19785690307617	pulse	0	t		horizontal	378.27523374557495	
182	202.2309799194336	stim	0		30	horizontal	378.3083567619324	0.2500190734863281
183	202.48099899291992	stim	0		30	horizontal	378.5583758354187	0.25002288818359375
184	202.73102188110352	stim	0		1800	blank	378.8083987236023	14.999772071838379
184	203.1726861000061	response	0	b		blank	379.2500629425049	
184	203.30595588684082	pulse	0	t		blank	379.3833327293396	
184	204.41548109054565	pulse	0	t		blank	380.49285793304443	
184	205.53109788894653	pulse	0	t		blank	381.6084747314453	
184	206.43938493728638	response	0	b		blank	382.51676177978516	
184	206.6393220424652	pulse	0	t		blank	382.716698884964	
184	207.748792886734	pulse	0	t		blank	383.8261697292328	
184	208.8643980026245	pulse	0	t		blank	384.9417748451233	
184	209.81443810462952	response	0	b		blank	385.8918149471283	
184	209.97272205352783	pulse	0	t		blank	386.0500988960266	
184	211.0893518924713	pulse	0	t		blank	387.1667287349701	
184	212.19777297973633	pulse	0	t		blank	388.2751498222351	
184	213.30717396736145	pulse	0	t		blank	389.38455080986023	
184	213.85600805282593	response	0	b		blank	389.9333848953247	
184	214.42270493507385	pulse	0	t		blank	390.50008177757263	
184	215.5310719013214	pulse	0	t		blank	391.6084487438202	
